[CH3:8][CH2:5][O:3][C:2]([C:4]([CH2:7][CH2:11][CH2:10]1)=[C:6]1[OH:9])=[O:1]	[CH3:8][CH2:5][O:3][C:2]([CH:4]([CH2:7][CH2:11][CH2:10]1)[C:6]1=[O:9])=[O:1]	InChI=1S/C8H12O3/c1-2-11-8(10)6-4-3-5-7(6)9/h9H,2-5H2,1H3	InChI=1S/C8H12O3/c1-2-11-8(10)6-4-3-5-7(6)9/h6H,2-5H2,1H3
[CH3:8][CH2:5][O:3][C:2]([C:4]([CH2:7][CH2:11][CH2:12][CH2:10]1)=[C:6]1[OH:9])=[O:1]	[CH3:8][CH2:5][O:3][C:2]([CH:4]([CH2:7][CH2:11][CH2:12][CH2:10]1)[C:6]1=[O:9])=[O:1]	InChI=1S/C9H14O3/c1-2-12-9(11)7-5-3-4-6-8(7)10/h10H,2-6H2,1H3	InChI=1S/C9H14O3/c1-2-12-9(11)7-5-3-4-6-8(7)10/h7H,2-6H2,1H3
[CH3:4][C:2]([C:3]([CH2:6][CH2:9][CH2:8]1)=[C:5]1[OH:7])=[O:1]	[CH3:4][C:2]([CH:3]([CH2:6][CH2:9][CH2:8]1)[C:5]1=[O:7])=[O:1]	InChI=1S/C7H10O2/c1-5(8)6-3-2-4-7(6)9/h9H,2-4H2,1H3	InChI=1S/C7H10O2/c1-5(8)6-3-2-4-7(6)9/h6H,2-4H2,1H3
[CH3:4][C:2]([C:3]([CH2:6][CH2:9][CH2:10][CH2:8]1)=[C:5]1[OH:7])=[O:1]	[CH3:4][C:2]([CH:3]([CH2:6][CH2:9][CH2:10][CH2:8]1)[C:5]1=[O:7])=[O:1]	InChI=1S/C8H12O2/c1-6(9)7-4-2-3-5-8(7)10/h10H,2-5H2,1H3	InChI=1S/C8H12O2/c1-6(9)7-4-2-3-5-8(7)10/h7H,2-5H2,1H3
[CH3:4][C:2]([C:3]([CH2:6][CH2:9][CH2:8]1)=[C:5]1[OH:7])=[O:1]	[CH3:4]/[C:2](/[OH:1])=[C:3](\[CH2:6][CH2:9][CH2:8]1)/[C:5]1=[O:7]	InChI=1S/C7H10O2/c1-5(8)6-3-2-4-7(6)9/h9H,2-4H2,1H3	InChI=1S/C7H10O2/c1-5(8)6-3-2-4-7(6)9/h8H,2-4H2,1H3/b6-5-
[CH3:4][C:2]([C:3]([CH2:6][CH2:9][CH2:10][CH2:8]1)=[C:5]1[OH:7])=[O:1]	[CH3:4]/[C:2](/[OH:1])=[C:3](\[CH2:6][CH2:9][CH2:10][CH2:8]1)/[C:5]1=[O:7]	InChI=1S/C8H12O2/c1-6(9)7-4-2-3-5-8(7)10/h10H,2-5H2,1H3	InChI=1S/C8H12O2/c1-6(9)7-4-2-3-5-8(7)10/h9H,2-5H2,1H3/b7-6-
[CH3:4][C:2]([C:3]([CH2:6][CH2:9][CH2:10][CH2:8]1)=[C:5]1[OH:7])=[S:1]	[CH3:4]/[C:2](/[SH:1])=[C:3](\[CH2:6][CH2:9][CH2:10][CH2:8]1)/[C:5]1=[O:7]	InChI=1S/C8H12OS/c1-6(10)7-4-2-3-5-8(7)9/h9H,2-5H2,1H3	InChI=1S/C8H12OS/c1-6(10)7-4-2-3-5-8(7)9/h10H,2-5H2,1H3/b7-6-
[CH3:9][C:5]([C:3]([CH2:6][CH2:10][CH2:7][CH2:4]1)=[C:2]1[SH:1])=[O:8]	[CH3:9]/[C:5](/[OH:8])=[C:3](\[CH2:6][CH2:10][CH2:7][CH2:4]1)/[C:2]1=[S:1]	InChI=1S/C8H12OS/c1-6(9)7-4-2-3-5-8(7)10/h10H,2-5H2,1H3	InChI=1S/C8H12OS/c1-6(9)7-4-2-3-5-8(7)10/h9H,2-5H2,1H3/b7-6-
[OH:8][C:5]([CH2:9][CH2:11][CH2:10][CH:6]1[CH2:7][CH2:4]2)=[C:3]1[C:2]2=[O:1]	[O:1]=[C:2]([CH2:4][CH2:7][CH:6]1[CH2:10][CH2:11][CH2:9]2)[CH:3]1[C:5]2=[O:8]	InChI=1S/C9H12O2/c10-7-3-1-2-6-4-5-8(11)9(6)7/h6,10H,1-5H2	InChI=1S/C9H12O2/c10-7-3-1-2-6-4-5-8(11)9(6)7/h6,9H,1-5H2
[OH:8][C:5]([CH2:9][CH2:10][CH:6]1[CH2:7][CH2:4]2)=[C:3]1[C:2]2=[O:1]	[O:8]=[C:5]([CH2:9][CH2:10][CH:6]1[CH2:7][CH2:4]2)[CH:3]1[C:2]2=[O:1]	InChI=1S/C8H10O2/c9-6-3-1-5-2-4-7(10)8(5)6/h5,9H,1-4H2	InChI=1S/C8H10O2/c9-6-3-1-5-2-4-7(10)8(5)6/h5,8H,1-4H2
[CH3:7][C:5](/[CH:3]=[C:2](/[CH3:4])\[SH:1])=[O:6]	[CH3:4][C:2](/[CH:3]=[C:5](/[CH3:7])\[OH:6])=[S:1]	InChI=1S/C5H8OS/c1-4(6)3-5(2)7/h3,7H,1-2H3/b5-3-	InChI=1S/C5H8OS/c1-4(6)3-5(2)7/h3,6H,1-2H3/b4-3-
[CH3:3][CH:2]=[O:1]	[CH2:3]=[CH:2][OH:1]	InChI=1S/C2H4O/c1-2-3/h2H,1H3	InChI=1S/C2H4O/c1-2-3/h2-3H,1H2
[CH3:4][C:2]([c:3]1[cH:5][cH:7][cH:9][cH:8][cH:6]1)=[O:1]	[CH2:4]=[C:2]([c:3]1[cH:5][cH:7][cH:9][cH:8][cH:6]1)[OH:1]	InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3	InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6,9H,1H2
[CH3:5][CH2:3][C:2]([CH3:4])=[O:1]	[CH3:5]/[CH:3]=[C:2](/[CH3:4])\[OH:1]	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3	InChI=1S/C4H8O/c1-3-4(2)5/h3,5H,1-2H3/b4-3-
[CH3:5][CH:3]([CH3:4])[CH:2]=[O:1]	[CH3:5][C:3]([CH3:4])=[CH:2][OH:1]	InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3	InChI=1S/C4H8O/c1-4(2)3-5/h3,5H,1-2H3
[CH3:6][CH:3]([CH3:5])[C:2]([CH3:4])=[O:1]	[CH3:6][C:3]([CH3:5])=[C:2]([CH3:4])[OH:1]	InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3	InChI=1S/C5H10O/c1-4(2)5(3)6/h6H,1-3H3
[CH3:8][CH:4]([CH3:7])[C:2]([c:3]1[cH:5][cH:9][cH:11][cH:10][cH:6]1)=[O:1]	[CH3:8][C:4]([CH3:7])=[C:2]([c:3]1[cH:5][cH:9][cH:11][cH:10][cH:6]1)[OH:1]	InChI=1S/C10H12O/c1-8(2)10(11)9-6-4-3-5-7-9/h3-8H,1-2H3	InChI=1S/C10H12O/c1-8(2)10(11)9-6-4-3-5-7-9/h3-7,11H,1-2H3
